"ISP (CET/CEST)","Area","Reserve Type","Regulation Up - Accepted [17.1.D] (MW)","Regulation Up - Activated [17.1.E] (MWh)","Regulation Down - Accepted [17.1.D] (MW)","Regulation Down - Activated [17.1.E] (MWh)"
"08/01/2021 05:00 - 08/01/2021 06:00","MBA|NO1","FCR","22.60","0.00","22.60","3.96"
"08/01/2021 06:00 - 08/01/2021 07:00","MBA|NO1","FCR","25.60","0.00","25.60","4.48"
"08/01/2021 07:00 - 08/01/2021 08:00","MBA|NO1","FCR","22.60","0.00","22.60","2.26"
"08/01/2021 08:00 - 08/01/2021 09:00","MBA|NO1","FCR","26.60","2.00","26.60",""
"08/01/2021 09:00 - 08/01/2021 10:00","MBA|NO1","FCR","29.50","0.00","29.50",""
"08/01/2021 10:00 - 08/01/2021 11:00","MBA|NO1","FCR","28.60","5.72","28.60",""
"08/01/2021 11:00 - 08/01/2021 12:00","MBA|NO1","FCR","27.60","7.59","27.60",""
"08/01/2021 12:00 - 08/01/2021 13:00","MBA|NO1","FCR","28.60","0.00","28.60","1.43"
"08/01/2021 13:00 - 08/01/2021 14:00","MBA|NO1","FCR","28.60","0.00","28.60","7.15"
"08/01/2021 14:00 - 08/01/2021 15:00","MBA|NO1","FCR","30.20","0.00","30.20",""
"08/01/2021 15:00 - 08/01/2021 16:00","MBA|NO1","FCR","31.70","0.00","31.70",""
"08/01/2021 16:00 - 08/01/2021 17:00","MBA|NO1","FCR","30.80","3.08","30.80",""
"08/01/2021 17:00 - 08/01/2021 18:00","MBA|NO1","FCR","28.80","3.60","28.80",""
"08/01/2021 18:00 - 08/01/2021 19:00","MBA|NO1","FCR","30.80","0.00","30.80","4.62"
"08/01/2021 19:00 - 08/01/2021 20:00","MBA|NO1","FCR","28.80","4.32","28.80",""
"08/01/2021 20:00 - 08/01/2021 21:00","MBA|NO1","FCR","23.50","3.53","23.50",""
"08/01/2021 21:00 - 08/01/2021 22:00","MBA|NO1","FCR","23.80","0.00","23.80",""
"08/01/2021 22:00 - 08/01/2021 23:00","MBA|NO1","FCR","23.80","0.00","23.80","4.17"
"08/01/2021 23:00 - 09/01/2021 00:00","MBA|NO1","FCR","23.80","0.60","23.80",""
"09/01/2021 00:00 - 09/01/2021 01:00","MBA|NO1","FCR","29.40","5.88","29.40",""
"09/01/2021 01:00 - 09/01/2021 02:00","MBA|NO1","FCR","27.30","0.68","27.30",""
"09/01/2021 02:00 - 09/01/2021 03:00","MBA|NO1","FCR","26.80","0.00","26.80","4.02"
"09/01/2021 03:00 - 09/01/2021 04:00","MBA|NO1","FCR","29.80","0.00","29.80","5.96"
"09/01/2021 04:00 - 09/01/2021 05:00","MBA|NO1","FCR","32.80","0.00","32.80","13.12"
"09/01/2021 05:00 - 09/01/2021 06:00","MBA|NO1","FCR","26.80","0.00","26.80","12.73"
"09/01/2021 06:00 - 09/01/2021 07:00","MBA|NO1","FCR","26.90","2.69","26.90",""
"09/01/2021 07:00 - 09/01/2021 08:00","MBA|NO1","FCR","26.40","6.60","26.40",""
